x,y,z,r,p,y
0.0414211,-0.0263852,-0.00976707,177.009,-179.714,-179.873
0.0400414,-0.0271708,-0.0144036,177.039,-179.781,-179.822
0.0422435,-0.0258985,-0.0118936,177.07,-179.663,-179.942
0.0379179,-0.0223997,-0.0126721,176.929,-179.612,-179.879
0.0430958,-0.0224785,-0.012294,177.093,-179.469,-179.899
0.0418117,-0.0212821,-0.00417559,176.989,-179.77,-180
0.04608,-0.023209,-0.00365169,177.079,-179.759,-179.898
0.045053,-0.0192732,-0.00354663,177.107,-179.681,-179.949
0.0412329,-0.0193591,-0.00998975,176.919,-179.639,-179.907
0.0446235,-0.0204168,-0.00992747,176.982,-179.589,-179.854
0.0403999,-0.0218163,-0.00917744,177.037,-179.811,-179.908
0.0420916,-0.0241541,-0.00431641,177.029,-179.645,-179.978
0.0408927,-0.0244256,-0.00420574,176.952,-179.677,-179.944
0.039741,-0.0231099,-0.00140839,177.049,-179.829,-,-0.010
0.0437472,-0.023973,-0.0034718,177.142,-179.509,-179.915
0.0426852,-0.023672,-0.00889861,176.976,-179.607,-179.889
0.0398686,-0.0250486,-0.0035668,177.04,-179.81,-179.976
0.0380054,-0.0238746,-0.00834466,176.993,-179.68,-179.926
0.0393177,-0.0240532,-0.0131399,176.979,-179.524,-179.846
0.0397266,-0.0222328,-0.0129586,176.992,-179.648,-179.871
0.0426679,-0.0250458,-0.012423,176.962,-179.603,-179.897
0.0445593,-0.0235583,-0.0153003,177.062,-179.665,-179.91
0.0480708,-0.0211621,-0.0141071,177.061,-179.631,-179.823
0.0474598,-0.0219439,-0.0165709,176.997,-179.757,-179.831
0.0486514,-0.0232623,-0.00970043,177.067,-179.768,-179.862
0.0458603,-0.0256202,-0.01075,176.929,-179.629,-179.943
0.0487816,-0.0264837,-0.01091,177.043,-179.561,-179.87
0.0498215,-0.028268,-0.0124089,176.999,-179.732,-179.909
0.0437949,-0.023874,-0.0108866,176.936,-179.568,-179.949
0.0460596,-0.023726,-0.0132297,177.024,-179.532,-179.902
0.0490486,-0.0216222,-0.00857956,177.104,-179.627,-179.986
0.0487274,-0.0247586,-0.00670993,177.107,-179.796,-179.884
0.0450055,-0.0234513,-0.00453143,177.057,-179.57,-179.959
0.041807,-0.0212206,-0.00452941,176.952,-179.733,-179.834
0.0350793,-0.0191245,-0.00820578,176.911,-179.554,-179.907
0.0371689,-0.0227693,-0.00824324,176.96,-179.641,-179.924
0.0373541,-0.0247383,-0.0129965,177.087,-179.588,-179.855
0.0429469,-0.0250477,-0.0127374,176.956,-179.595,-179.863
0.0501803,-0.0239354,-0.0134251,177.077,-179.606,-179.853
0.0456518,-0.023536,-0.00722268,176.983,-179.583,-179.933
0.0447337,-0.0275627,-0.00467174,177.131,-179.632,-179.823
0.0385737,-0.0229236,-0.00604516,176.995,-179.593,179.968
0.0394249,-0.023577,-0.00593994,177.084,-179.669,-179.893
0.0425091,-0.0233605,-0.00698958,177.052,-179.531,-179.973
0.0426769,-0.0274471,-0.00743029,177.1,-179.63,-179.92
0.0486036,-0.0248654,-0.00887342,177.127,-179.761,-179.88
0.0517472,-0.0235968,-0.00945325,177.095,-179.576,-179.956
0.0481129,-0.0236297,-0.0082308,177.029,-179.718,-179.899
0.0434349,-0.0239826,-0.0114826,177.025,-179.557,-179.898
0.0410249,-0.0238594,-0.0125984,177.039,-179.638,-179.88
0.0413486,-0.0230831,-0.0121421,177.144,-179.6,-179.876
0.0380521,-0.0254124,-0.0159016,177.055,-179.68,-179.872
0.0424439,-0.0271588,-0.0125366,177.057,-179.715,-179.899
0.0411614,-0.0257455,-0.0131182,176.997,-179.581,-179.818
0.0434715,-0.0235587,-0.00789358,177.073,-179.688,-179.985
0.0468201,-0.0242457,-0.00865761,177.023,-179.583,-179.845
0.0455474,-0.0222294,-0.00879272,177.02,-179.616,-179.876
0.0513777,-0.0228607,-0.00882788,177.085,-179.72,-179.872
0.0475773,-0.0229401,-0.0124923,177.025,-179.658,-179.774
0.0441344,-0.0240657,-0.0116686,177.07,-179.554,-179.778
0.0457111,-0.0251455,-0.0128476,177.091,-179.809,-179.79
0.0404025,-0.0249012,-0.0155906,177.059,-179.722,-179.815
0.0360889,-0.0252785,-0.0111015,177.028,-179.789,-179.819
0.0423698,-0.0248355,-0.00556746,176.929,-179.609,-179.917
0.0449154,-0.0233226,-0.00456278,177.031,-179.72,-179.98
0.0469529,-0.0233514,-0.00838551,177.044,-179.515,-179.914
0.0473104,-0.0203476,-0.0128014,177.048,-179.691,-179.792
0.0483702,-0.0239367,-0.0137303,177.021,-179.688,-179.784
0.0494375,-0.0241344,-0.0140178,177.016,-179.485,-179.882
0.0517366,-0.0242081,-0.0119529,177.032,-179.559,-179.9
0.0528152,-0.0274238,-0.0139477,177.011,-179.416,-179.901
0.0527433,-0.0277778,-0.0156945,177.176,-179.514,-179.909
0.0481776,-0.0266311,-0.0136374,177.113,-179.465,-179.867
0.0456222,-0.026097,-0.0143945,177.033,-179.662,-179.873
0.0500203,-0.0228937,-0.0121153,177.188,-179.588,-179.807
0.0486128,-0.0197339,-0.0147014,177.013,-179.616,-179.838
0.0510086,-0.0205035,-0.0123728,177.05,-179.546,-179.845
0.0448893,-0.0194469,-0.0148391,177.05,-179.644,-179.838
0.0436506,-0.0189279,-0.0105326,177.042,-179.66,-179.859
0.0419972,-0.0213848,-0.0082769,177.054,-179.771,-179.901
0.0397957,-0.0205474,-0.00628127,177.004,-179.554,-179.909
0.0389264,-0.022033,-0.0087887,177.014,-179.639,-179.892
0.0377209,-0.0214346,-0.00913653,177.075,-179.654,-179.844
0.0365941,-0.0218959,-0.00649249,176.886,-179.706,-179.923
0.0370727,-0.0235447,-0.00817709,176.948,-179.691,-179.853
0.0412965,-0.0257015,-0.00797365,176.993,-179.598,-179.839
0.0450399,-0.0270043,-0.0129346,176.999,-179.536,-179.932
0.0470781,-0.0314312,-0.0107832,177.171,-179.756,-179.826
0.0467313,-0.0331552,-0.00757129,177.074,-179.691,-179.909
0.0475219,-0.0280625,-0.00984267,177.094,-179.797,-179.9
0.0447459,-0.0287614,-0.00610916,177.034,-179.664,-179.869
0.0473882,-0.0253588,-0.00581602,177.123,-179.738,-179.925
0.0485525,-0.0235344,-0.00577387,176.96,-179.62,-179.863
0.0444046,-0.0223966,-0.00399895,176.907,-179.52,179.935
0.0438889,-0.021037,-0.00650268,176.924,-179.572,-179.91
0.0474327,-0.0214588,-0.00730207,177.064,-179.673,-179.954
0.0521395,-0.024978,-0.00735759,177.088,-179.664,-179.894
0.0508084,-0.0237634,-0.00898914,177.118,-179.708,-179.96
0.049125,-0.0256177,-0.010482,176.992,-179.752,-179.759
0.051392,-0.0262306,-0.00986383,177.12,-179.697,-179.903
0.0491691,-0.0261213,-0.00781284,177.12,-179.726,-179.901
0.0426278,-0.0284915,-0.00684453,177.023,-179.63,-179.988
0.0440272,-0.0307885,0.00138731,177.081,-179.682,179.998
0.0396555,-0.0264605,-0.00551541,177.011,-179.571,-179.919
0.0389123,-0.0246855,-0.0048054,176.931,-179.634,-179.939
0.0447588,-0.0256974,-0.0049867,177.057,-179.595,-179.929
0.041036,-0.0226652,-0.00836962,177.008,-179.559,-179.919
0.0411681,-0.0222673,-0.00621468,176.976,-179.628,-179.932
0.0412887,-0.020995,-0.00766652,177.014,-179.666,-179.925
0.0456045,-0.0227359,-0.00623124,177.001,-179.62,-179.917
0.0500136,-0.0243336,-0.00637277,177.073,-179.656,-179.971
0.0491154,-0.0237145,-0.0075273,177.155,-179.517,-179.927
0.047299,-0.0260275,-0.00708778,177.085,-179.683,-179.968
0.0453235,-0.0239721,-0.00575968,177.067,-179.654,-179.88
0.0401382,-0.0202214,-0.00556595,177.037,-179.669,-179.88
0.0432675,-0.0172149,-0.00844891,176.956,-179.531,-179.86
0.0411502,-0.0181398,-0.0111016,176.989,-179.699,-179.811
0.0437561,-0.0202966,-0.00792879,177.027,-179.632,-179.845
0.0408057,-0.0230534,-0.00839161,176.979,-179.72,-179.901
0.0377365,-0.0229146,-0.00517877,176.996,-179.7,-179.948
0.0426322,-0.0246232,-0.00921419,177.033,-179.687,-179.963
0.0471726,-0.0248134,-0.00526627,177.033,-179.772,-179.925
0.044508,-0.0208956,-0.00671511,177.053,-179.761,-179.849
0.0445169,-0.024952,-0.0100661,176.946,-179.624,-179.925
0.045977,-0.0267368,-0.00831791,176.89,-179.488,179.982
0.0475927,-0.0271355,-0.0104847,177.074,-179.677,-179.903
0.0527619,-0.0277596,-0.0125674,177.029,-179.479,-179.948
0.0491157,-0.0248101,-0.0135283,177.076,-179.606,-179.859
0.0482596,-0.0239594,-0.0100321,177.015,-179.638,-179.943
0.0478086,-0.026316,-0.00695306,177.097,-179.648,-179.924
0.0497939,-0.023224,-0.00270115,177.06,-179.683,-179.876
0.0515819,-0.0237292,-0.00936408,177.112,-179.543,-179.827
0.0480212,-0.0249359,-0.00967829,177.088,-179.722,-179.899
0.0464167,-0.0240373,-0.0121594,177.019,-179.586,-179.885
0.0389869,-0.0239404,-0.0139637,177.038,-179.679,-179.91
0.040162,-0.0207556,-0.0138035,177.033,-179.627,-179.851
0.0360175,-0.0201084,-0.0146224,176.949,-179.563,-179.824
0.0325878,-0.0180746,-0.0163287,176.963,-179.662,-179.829
0.033209,-0.0194396,-0.0152234,176.963,-179.57,-179.907
0.0350666,-0.0224065,-0.0133949,177,-179.622,-179.858
0.0384348,-0.0235789,-0.00702822,176.974,-179.656,-179.913
0.0430251,-0.0201181,-0.00835777,177.045,-179.733,-179.863
0.0431985,-0.0229289,-0.00840486,176.886,-179.603,-179.887
0.0420508,-0.0199265,-0.0077425,177.012,-179.645,-179.909
